full_name,age,league,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,penalty_goals,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,min_per_match,min_per_assist_overall
Aaron Herzog,22,Bundesliga,Midfielder,Borussia M'gladbach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aarón Martín,23,Bundesliga,Defender,Mainz 05,1797,797,1000,22,9,13,0,0,0,0,0,48,20,28,2,0,0,0,0,0,0,82,0
Abdelhamid Sabiri,23,Bundesliga,Midfielder,Paderborn,1037,580,457,24,12,12,4,3,1,1,1,23,14,9,6,0.43,0.09,0.35,0.47,0.2,259,43,1037
Achraf Hakimi Mouh,22,Bundesliga,Defender,Borussia Dortmund,2715,1344,1371,33,17,16,5,0,5,10,0,34,11,23,5,0.5,0.33,0.17,0,0.33,543,82,272
Adam Bodzek,35,Bundesliga,Defender,Fortuna Düsseldorf,2017,1002,1015,28,15,13,0,0,0,0,0,44,18,26,10,0,0,0,0,0,0,72,0
Ádám Szalai,32,Bundesliga,Forward,Mainz 05,1139,692,447,27,14,13,1,1,0,1,0,20,8,12,1,0.16,0.08,0.08,0.13,0,1139,42,1139
Ademola Lookman,23,Bundesliga,Forward,RB Leipzig,299,132,167,11,5,6,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,27,0
Admir Mehmedi,29,Bundesliga,Forward,Wolfsburg,1205,558,647,21,10,11,2,2,0,2,0,14,8,6,0,0.3,0.15,0.15,0.32,0,603,57,603
Adrian Oeynhausen,18,Bundesliga,Midfielder,Paderborn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adrian Stanilewicz,20,Bundesliga,Midfielder,Bayer Leverkusen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ahmed Kutucu,20,Bundesliga,Forward,Schalke 04,660,393,267,25,15,10,3,2,1,2,0,17,8,9,2,0.68,0.27,0.41,0.46,0.34,220,26,330
Ahmet Gürleyen,21,Bundesliga,Defender,Mainz 05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akaki Gogia,28,Bundesliga,Midfielder,Union Berlin,120,76,44,3,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,40,0
Alaa Bakir,19,Bundesliga,Forward,Borussia Dortmund,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alassane Pléa,27,Bundesliga,Forward,Borussia M'gladbach,2150,1082,1068,27,14,13,10,5,5,10,0,23,12,11,4,0.84,0.42,0.42,0.42,0.42,215,80,215
Aleksandar Dragović,29,Bundesliga,Defender,Bayer Leverkusen,1027,515,512,15,8,7,0,0,0,0,0,17,11,6,7,0,0,0,0,0,0,68,0
Alessandro Schöpf,26,Bundesliga,Midfielder,Schalke 04,1426,748,678,22,11,11,0,0,0,1,0,30,16,14,3,0.06,0.06,0,0,0,0,65,1426
Alexander Esswein,30,Bundesliga,Midfielder,Hertha BSC,209,56,153,7,2,5,0,0,0,0,0,5,3,2,1,0,0,0,0,0,0,30,0
Alexander Hack,27,Bundesliga,Defender,Mainz 05,802,335,467,14,6,8,0,0,0,0,0,26,6,20,2,0,0,0,0,0,0,57,0
Alexander Nübel,24,Bundesliga,Goalkeeper,Schalke 04,2316,1146,1170,26,13,13,0,0,0,0,0,39,20,19,2,0,0,0,0,0,0,89,0
Alexander Schwolow,28,Bundesliga,Goalkeeper,Freiburg,2093,1080,1013,24,12,12,0,0,0,0,0,29,12,17,0,0,0,0,0,0,0,87,0
Alexandru Maxim,30,Bundesliga,Midfielder,Mainz 05,112,80,32,5,4,1,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,22,0
Alfredo Morales,30,Bundesliga,Midfielder,Fortuna Düsseldorf,1726,682,1044,27,12,15,1,1,0,2,0,41,14,27,6,0.16,0.1,0.05,0.13,0,1726,64,863
Alfreð Finnbogason,31,Bundesliga,Forward,Augsburg,961,555,406,21,11,10,3,3,0,1,1,15,11,4,1,0.37,0.09,0.28,0.49,0,320,46,961
Almamy Touré,24,Bundesliga,Defender,Eintracht Frankfurt,1495,780,715,19,10,9,1,1,0,3,0,33,15,18,2,0.24,0.18,0.06,0.12,0,1495,79,498
Alphonso Davies,20,Bundesliga,Midfielder,Bayern München,2233,1044,1189,29,14,15,3,3,0,5,0,20,8,12,4,0.32,0.2,0.12,0.26,0,744,77,447
Álvaro Odriozola,24,Bundesliga,Defender,Bayern München,153,91,62,3,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,51,0
Amadou Haidara,22,Bundesliga,Midfielder,RB Leipzig,743,349,394,19,10,9,0,0,0,1,0,10,5,5,1,0.12,0.12,0,0,0,0,39,743
Amine Harit,23,Bundesliga,Midfielder,Schalke 04,2109,979,1130,25,12,13,6,1,5,4,1,36,16,20,3,0.43,0.17,0.26,0.09,0.4,352,84,527
Amir Abrashi,30,Bundesliga,Midfielder,Freiburg,666,255,411,13,6,7,0,0,0,0,0,9,2,7,3,0,0,0,0,0,0,51,0
André Hahn,30,Bundesliga,Forward,Augsburg,701,287,414,15,6,9,1,1,0,0,0,17,4,13,6,0.13,0,0.13,0.31,0,701,47,0
Andre Hoffmann,27,Bundesliga,Midfielder,Fortuna Düsseldorf,2430,1147,1283,29,14,15,2,0,2,1,0,47,17,30,7,0.11,0.04,0.07,0,0.14,1215,84,2430
André Silva,25,Bundesliga,Forward,Eintracht Frankfurt,1576,781,795,25,13,12,12,7,5,3,1,33,14,19,2,0.86,0.17,0.69,0.81,0.57,131,63,525
Andreas Luthe,33,Bundesliga,Goalkeeper,Augsburg,900,450,450,10,5,5,0,0,0,0,0,9,6,3,0,0,0,0,0,0,0,90,0
Andrej Kramarić,29,Bundesliga,Forward,Hoffenheim,1419,836,583,19,11,8,12,7,5,2,2,24,16,8,3,0.89,0.13,0.76,0.75,0.77,118,75,710
Ante Rebić,27,Bundesliga,Forward,Eintracht Frankfurt,90,90,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,90,0
Anthony Evans,22,Bundesliga,Midfielder,Paderborn,153,128,25,6,2,4,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,26,0
Anthony Modeste,32,Bundesliga,Forward,Köln,1129,522,607,27,12,15,4,2,2,1,0,33,12,21,1,0.4,0.08,0.32,0.34,0.3,282,42,1129
Anthony Ujah,30,Bundesliga,Forward,Union Berlin,945,655,290,24,12,12,3,3,0,2,0,15,7,8,0,0.48,0.19,0.29,0.41,0,315,39,473
Arne Maier,21,Bundesliga,Midfielder,Hertha BSC,528,259,269,14,6,8,0,0,0,0,0,11,6,5,0,0,0,0,0,0,0,38,0
Axel Witsel,31,Bundesliga,Midfielder,Borussia Dortmund,2245,1173,1072,28,15,13,4,2,2,5,0,32,13,19,4,0.36,0.2,0.16,0.15,0.17,561,80,449
