full_name,age,league,position,current_club,minutes_played_overall,minutes_played_home,minutes_played_away,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,penalty_goals,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,min_per_match,min_per_assist_overall
Aarón Escandell Banacloche,25,La Liga,Goalkeeper,Granada CF,270,90,180,3,1,2,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,90,0
Abdallahi Mohamed Mahmoud,20,La Liga,Defender,Deportivo Alavés,150,25,125,3,1,2,0,0,0,0,0,3,1,2,1,0,0,0,0,0,0,50,0
Abdón Prats Bastidas,27,La Liga,Forward,RCD Mallorca,260,124,136,20,9,11,0,0,0,0,0,4,1,3,1,0,0,0,0,0,0,13,0
Abdul Rahman Baba,26,La Liga,Defender,RCD Mallorca,109,90,19,2,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,55,0
Adnan Januzaj,25,La Liga,Midfielder,Real Sociedad,1164,537,627,24,13,11,3,2,1,3,0,13,4,9,3,0.46,0.23,0.23,0.34,0.14,388,49,388
Adrià Giner Pedrosa,22,La Liga,Defender,RCD Espanyol,1081,601,480,20,11,9,1,0,1,0,0,17,10,7,3,0.08,0,0.08,0,0.19,1081,54,0
Adrián,33,La Liga,Goalkeeper,CA Osasuna,1453,854,599,26,14,12,2,1,1,0,1,20,13,7,0,0.12,0,0.12,0.11,0.15,727,56,0
Adrián Embarba Blázquez,28,La Liga,Forward,RCD Espanyol,1381,649,732,18,9,9,2,0,2,4,1,18,8,10,4,0.39,0.26,0.13,0,0.25,691,77,345
Adrián Guerrero,22,La Liga,Midfielder,Valencia CF,126,82,44,2,1,1,0,0,0,0,0,3,1,2,1,0,0,0,0,0,0,63,0
Adrián Marín Gómez,23,La Liga,Defender,Deportivo Alavés,852,288,564,12,5,7,0,0,0,0,0,17,5,12,1,0,0,0,0,0,0,71,0
Aihen Muñoz Capellán,23,La Liga,Midfielder,Real Sociedad,980,357,623,15,7,8,0,0,0,0,0,11,4,7,1,0,0,0,0,0,0,65,0
Aimar Oroz,18,La Liga,Midfielder,CA Osasuna,10,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
Aïssa Mandi,29,La Liga,Defender,Real Betis,2578,1433,1145,29,16,13,0,0,0,0,0,34,20,14,10,0,0,0,0,0,0,89,0
Aitor Fernández Abarisketa,29,La Liga,Goalkeeper,Levante UD,3240,1620,1620,36,18,18,0,0,0,0,0,51,19,32,2,0,0,0,0,0,0,90,0
Aitor Ruibal García,24,La Liga,Forward,Leganés,1216,557,659,25,11,14,0,0,0,0,0,11,4,7,5,0,0,0,0,0,0,49,0
Alberto Moreno,28,La Liga,Defender,Villarreal,1474,690,784,18,8,10,0,0,0,0,0,20,13,7,6,0,0,0,0,0,0,82,0
Alberto Rodríguez Baro,23,La Liga,Defender,Deportivo Alavés,235,52,183,6,3,3,0,0,0,0,0,4,2,2,1,0,0,0,0,0,0,39,0
Aleix Febas Pérez,24,La Liga,Midfielder,RCD Mallorca,1700,752,948,29,14,15,0,0,0,3,0,31,6,25,4,0.16,0.16,0,0,0,0,59,567
Aleix Vidal,31,La Liga,Defender,Deportivo Alavés,2177,1178,999,29,14,15,2,1,1,4,0,32,11,21,6,0.25,0.17,0.08,0.08,0.09,1089,75,544
Alejandro Baena Rodríguez,19,La Liga,Midfielder,Villarreal,13,13,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
Alejandro Blesa Pina,0,La Liga,Midfielder,Levante UD,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Alejandro Martínez Sánchez,30,La Liga,Defender,Granada CF,14,0,14,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,14,0
Alejandro Moreno Lopera,27,La Liga,Midfielder,Real Betis,2265,1118,1147,31,15,16,0,0,0,4,0,39,19,20,5,0.16,0.16,0,0,0,0,73,566
Alejandro Pozo Pozo,21,La Liga,Midfielder,RCD Mallorca,1532,693,839,22,11,11,1,1,0,2,0,28,10,18,0,0.18,0.12,0.06,0.13,0,1532,70,766
Alejandro Remiro Gargallo,25,La Liga,Goalkeeper,Real Sociedad,2250,1260,990,25,14,11,0,0,0,0,0,28,14,14,0,0,0,0,0,0,0,90,0
Aleksandar Sedlar,28,La Liga,Defender,RCD Mallorca,823,213,610,12,4,8,0,0,0,0,0,15,4,11,4,0,0,0,0,0,0,69,0
Aleksandar Trajkovski,28,La Liga,Forward,RCD Mallorca,319,125,194,14,7,7,0,0,0,0,0,6,3,3,0,0,0,0,0,0,0,23,0
Alessandro Florenzi,29,La Liga,Midfielder,Valencia CF,755,378,377,12,6,6,0,0,0,0,0,8,3,5,2,0,0,0,0,0,0,63,0
Álex Alegría,28,La Liga,Forward,RCD Mallorca,103,73,30,6,4,2,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,17,0
Álex Collado Gutiérrez,21,La Liga,Midfielder,FC Barcelona,5,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
