full_name,age,league,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,penalty_goals,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,min_per_match,min_per_assist_overall
Aaron Leya Iseka,22,Ligue 1,Forward,Toulouse,765,245,520,22,10,12,2,0,2,0,1,21,10,11,2,0.24,0,0.24,0,0.35,383,35,0
Abdallah Ali Mohamed,21,Ligue 1,Forward,Olympique Marseille,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abdallah N'Dour,26,Ligue 1,Defender,Strasbourg,373,174,199,6,2,4,0,0,0,0,0,4,2,2,2,0,0,0,0,0,0,62,0
Abdou Diallo,24,Ligue 1,Defender,PSG,1203,434,769,16,7,9,0,0,0,1,0,8,1,7,4,0.07,0.07,0,0,0,0,75,1203
Abdoulaye Bamba,30,Ligue 1,Defender,Angers SCO,553,373,180,7,5,2,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,79,0
Abdoulaye Jules Keita,22,Ligue 1,Midfielder,Dijon,156,134,22,3,2,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,52,0
Abdoulaye Touré,26,Ligue 1,Midfielder,Nantes,2220,1167,1053,27,14,13,3,3,0,0,2,21,9,12,3,0.12,0,0.12,0.23,0,740,82,0
Abdul Majeed Waris,29,Ligue 1,Forward,Strasbourg,371,243,128,7,3,4,2,1,1,1,0,3,1,2,1,0.73,0.24,0.49,0.37,0.7,186,53,371
Adam Ounas,24,Ligue 1,Midfielder,Nice,1131,569,562,16,8,8,2,1,1,4,0,14,8,6,3,0.48,0.32,0.16,0.16,0.16,566,71,283
Adama Traoré,25,Ligue 1,Midfielder,Metz,1034,632,402,17,11,6,1,1,0,4,0,12,5,7,1,0.44,0.35,0.09,0.14,0,1034,61,259
Adil Aouchiche,18,Ligue 1,Midfielder,PSG,65,0,65,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0
Adil Taoui,19,Ligue 1,Forward,Toulouse,23,11,12,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
Adrien Hunou,26,Ligue 1,Midfielder,Rennes,1209,634,575,23,12,11,8,5,3,1,1,11,5,6,2,0.67,0.07,0.6,0.71,0.47,151,53,1209
Adrien Lebeau,21,Ligue 1,Defender,Strasbourg,11,11,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
Adrien Sebastian Perruchet Silva,31,Ligue 1,Midfielder,Monaco,1216,452,764,22,11,11,0,0,0,2,0,14,6,8,7,0.15,0.15,0,0,0,0,55,608
Adrien Tameze,26,Ligue 1,Midfielder,Nice,519,162,357,8,3,5,1,0,1,0,0,10,3,7,2,0.17,0,0.17,0,0.25,519,65,0
Adrien Thomasson,26,Ligue 1,Midfielder,Strasbourg,2082,963,1119,25,12,13,7,6,1,1,0,24,12,12,4,0.35,0.04,0.3,0.56,0.08,297,83,2082
Agustín Maximiliano Rogel Paita,23,Ligue 1,Defender,Toulouse,858,420,438,10,5,5,0,0,0,0,0,19,7,12,0,0,0,0,0,0,0,86,0
Ahmad Toure Ngouyamsa Nounchil,19,Ligue 1,Defender,Dijon,54,54,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,54,0
Ahoueke Denkey,19,Ligue 1,Midfielder,Nîmes,596,239,357,17,8,9,3,1,2,1,0,8,1,7,1,0.6,0.15,0.45,0.38,0.5,199,35,596
Alban Lafont,21,Ligue 1,Goalkeeper,Nantes,2430,1170,1260,27,13,14,0,0,0,0,0,25,8,17,3,0,0,0,0,0,0,90,0
Albert Nicolas Lottin,19,Ligue 1,Midfielder,Bordeaux,46,0,46,1,0,1,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,46,0
Aleksandr Golovin,24,Ligue 1,Midfielder,Monaco,2069,1006,1063,25,12,13,3,3,0,4,0,33,15,18,6,0.3,0.17,0.13,0.27,0,690,83,517
Alexander Djiku,26,Ligue 1,Defender,Strasbourg,2063,1057,1006,25,13,12,1,1,0,1,0,23,14,9,6,0.09,0.04,0.04,0.09,0,2063,83,2063
Alexandre Gameiro da Conceicao,21,Ligue 1,Forward,Nice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexandre Mendy,26,Ligue 1,Forward,Brest,895,403,492,20,10,10,3,2,1,1,0,15,3,12,3,0.4,0.1,0.3,0.45,0.18,298,45,895
Alexandre Olliero,24,Ligue 1,Goalkeeper,Nantes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexandre Oukidja,32,Ligue 1,Goalkeeper,Metz,2385,1215,1170,27,14,13,0,0,0,0,0,29,15,14,3,0,0,0,0,0,0,88,0
Alexandre Phliponeau,20,Ligue 1,Midfielder,Olympique Marseille,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexis Blin,24,Ligue 1,Midfielder,Amiens SC,1845,991,854,24,12,12,0,0,0,1,0,31,16,15,4,0.05,0.05,0,0,0,0,77,1845
Alexis Claude Maurice,22,Ligue 1,Forward,Nice,1633,856,777,22,12,10,1,1,0,1,0,23,11,12,2,0.11,0.06,0.06,0.11,0,1633,74,1633
Alexis Trouillet,19,Ligue 1,Midfielder,Nice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alfred Gomis,27,Ligue 1,Goalkeeper,Dijon,1621,811,810,19,10,9,0,0,0,0,0,19,7,12,0,0,0,0,0,0,0,85,0
Alphonse Areola,27,Ligue 1,Goalkeeper,PSG,270,180,90,3,2,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,90,0
Álvaro,30,Ligue 1,Defender,Olympique Marseille,1629,792,837,20,10,10,0,0,0,0,0,13,6,7,5,0,0,0,0,0,0,81,0
Amadou Dia Ndiaye,20,Ligue 1,Forward,Metz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ambroise Oyongo Bitolo,29,Ligue 1,Defender,Montpellier,1825,945,880,21,11,10,0,0,0,0,0,21,7,14,3,0,0,0,0,0,0,87,0
Amine Adli,20,Ligue 1,Midfielder,Toulouse,42,0,42,4,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0
Amine Gouiri,20,Ligue 1,Forward,Olympique Lyonnais,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amir Adouyev,21,Ligue 1,Midfielder,Montpellier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anastasios Donis,24,Ligue 1,Forward,Reims,606,340,266,15,9,6,0,0,0,0,0,4,2,2,1,0,0,0,0,0,0,40,0
Ander Herrera,31,Ligue 1,Midfielder,PSG,547,278,269,8,4,4,1,0,1,1,0,5,1,4,0,0.33,0.16,0.16,0,0.33,547,68,547
Andrei Girotto,28,Ligue 1,Midfielder,Nantes,2179,1134,1045,25,13,12,1,0,1,0,0,22,7,15,6,0.04,0,0.04,0,0.09,2179,87,0
Andy Delort,29,Ligue 1,Forward,Montpellier,2286,1221,1065,26,14,12,9,5,4,3,0,31,9,22,5,0.47,0.12,0.35,0.37,0.34,254,88,762
Andy Pelmard,20,Ligue 1,Defender,Nice,766,280,486,10,4,6,0,0,0,0,0,13,5,8,1,0,0,0,0,0,0,77,0
Ángel Di María,32,Ligue 1,Midfielder,PSG,2005,964,1041,26,14,12,8,4,4,14,1,18,8,10,2,0.99,0.63,0.36,0.37,0.35,251,77,143
Angelo Fulgini,24,Ligue 1,Midfielder,Angers SCO,1585,768,817,20,10,10,1,0,1,1,0,16,10,6,3,0.11,0.06,0.06,0,0.11,1585,79,1585
Anthony Briançon,25,Ligue 1,Midfielder,Nîmes,1738,861,877,22,11,11,1,0,1,0,0,30,9,21,3,0.05,0,0.05,0,0.1,1738,79,0
Anthony Caci,23,Ligue 1,Midfielder,Strasbourg,693,450,243,8,5,3,1,0,1,4,0,8,6,2,0,0.65,0.52,0.13,0,0.37,693,87,173
Anthony Limbombe Ekango,26,Ligue 1,Forward,Nantes,151,61,90,4,2,2,1,0,1,0,0,1,0,1,0,0.6,0,0.6,0,1,151,38,0
Anthony Lopes,30,Ligue 1,Goalkeeper,Olympique Lyonnais,2340,1080,1260,26,12,14,0,0,0,0,0,23,7,16,1,0,0,0,0,0,0,90,0
Anthony Mandrea,23,Ligue 1,Goalkeeper,Angers SCO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Racioppi,21,Ligue 1,Goalkeeper,Olympique Lyonnais,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Walongwa,27,Ligue 1,Defender,Nantes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antoine Valério,20,Ligue 1,Midfielder,Nîmes,84,81,3,5,4,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,17,0
Antonin Bobichon,25,Ligue 1,Forward,Angers SCO,833,277,556,13,5,8,2,1,1,1,0,11,2,9,0,0.32,0.11,0.22,0.32,0.16,417,64,833
Arber Zeneli,25,Ligue 1,Forward,Reims,5,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
Arnaud Kalimuendo Muinga,18,Ligue 1,Forward,PSG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arnaud Lusamba,23,Ligue 1,Midfielder,Nice,984,484,500,15,7,8,1,1,0,2,0,13,6,7,1,0.27,0.18,0.09,0.19,0,984,66,492
Arnaud Nordin,22,Ligue 1,Midfielder,Saint-Étienne,905,494,411,18,10,8,1,0,1,0,0,14,8,6,2,0.1,0,0.1,0,0.22,905,50,0
Arnaud Souquet,28,Ligue 1,Defender,Montpellier,2015,1018,997,24,12,12,2,2,0,0,0,24,8,16,6,0.09,0,0.09,0.18,0,1008,84,0
Arthur Zagre,19,Ligue 1,Defender,Monaco,24,24,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
Arturo Calabresi,24,Ligue 1,Defender,Amiens SC,1879,799,1080,21,9,12,1,0,1,1,0,37,13,24,5,0.1,0.05,0.05,0,0.08,1879,89,1879
Assane Dioussé,23,Ligue 1,Midfielder,Saint-Étienne,117,108,9,4,3,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,29,0
