full_name,age,birthday,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Aaron Leya Iseka,22,879580800,Ligue 1,2019/2020,Forward,Toulouse,765,245,520,Belgium,22,10,12,2,0,2,0,0,0,1,1,1,1,0,21,10,11,2,0,0.24,0,0.24,0,0.35,383,2.47,36,35,383,0,0.24,65,383,-1,5
Abdallah Ali Mohamed,21,923814000,Ligue 1,2019/2020,Forward,Olympique Marseille,0,0,0,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Abdallah N'Dour,26,756374400,Ligue 1,2019/2020,Defender,Strasbourg,373,174,199,Senegal,6,2,4,0,0,0,0,0,0,0,0,2,1,1,4,2,2,2,1,0,0,0,0,0,0,0.97,93,62,187,0,0.48,341,343,51,14
Abdou Diallo,24,831193200,Ligue 1,2019/2020,Defender,PSG,1203,434,769,France,16,7,9,0,0,0,1,1,0,0,0,9,5,4,8,1,7,4,0,0.07,0.07,0,0,0,0,0.6,150,75,301,1203,0.3,354,170,6,27
Abdoulaye Bamba,30,641026800,Ligue 1,2019/2020,Defender,Angers SCO,553,373,180,Côte d'Ivoire,7,5,2,0,0,0,0,0,0,0,0,5,4,1,2,0,2,2,0,0,0,0,0,0,0,0.33,277,79,277,0,0.33,253,245,2,15
Abdoulaye Jules Keita,22,900918000,Ligue 1,2019/2020,Midfielder,Dijon,156,134,22,Guinea,3,2,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1.15,78,52,0,0,0,-1,-1,-1,22
Abdoulaye Touré,26,762681600,Ligue 1,2019/2020,Midfielder,Nantes,2220,1167,1053,France,27,14,13,3,3,0,0,0,0,2,0,10,7,3,21,9,12,3,0,0.12,0,0.12,0.23,0,740,0.85,106,82,740,0,0.12,124,361,-1,4
Abdul Majeed Waris,29,685263600,Ligue 1,2019/2020,Forward,Strasbourg,371,243,128,Ghana,7,3,4,2,1,1,1,0,1,0,0,3,2,1,3,1,2,1,0,0.73,0.24,0.49,0.37,0.7,186,0.73,124,53,371,371,0.24,20,33,-1,4
Adam Ounas,24,847699200,Ligue 1,2019/2020,Midfielder,Nice,1131,569,562,Algeria,16,8,8,2,1,1,4,3,1,0,0,2,0,2,14,8,6,3,1,0.48,0.32,0.16,0.16,0.16,566,1.11,81,71,283,283,0.32,105,16,-1,6
Adama Traoré,25,804322800,Ligue 1,2019/2020,Midfielder,Metz,1034,632,402,Mali,17,11,6,1,1,0,4,2,2,0,0,4,2,2,12,5,7,1,0,0.44,0.35,0.09,0.14,0,1034,1.04,86,61,1034,259,0.09,149,15,-1,7
Adil Aouchiche,18,1026716400,Ligue 1,2019/2020,Midfielder,PSG,65,0,65,France,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,-1,-1,-1,18
Adil Taoui,19,997426800,Ligue 1,2019/2020,Forward,Toulouse,23,11,12,France,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,-1,-1,-1,17
Adrien Hunou,26,758966400,Ligue 1,2019/2020,Midfielder,Rennes,1209,634,575,France,23,12,11,8,5,3,1,0,1,1,0,7,2,5,11,5,6,2,0,0.67,0.07,0.6,0.71,0.47,151,0.82,110,53,605,1209,0.15,13,163,-1,2
Adrien Lebeau,21,931417200,Ligue 1,2019/2020,Defender,Strasbourg,11,11,0,France,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,-1,-1,-1,20
Adrien Sebastian Perruchet Silva,31,605952000,Ligue 1,2019/2020,Midfielder,Monaco,1216,452,764,Portugal,22,11,11,0,0,0,2,2,0,0,0,6,3,3,14,6,8,7,0,0.15,0.15,0,0,0,0,1.04,87,55,174,608,0.52,263,89,-1,13
Adrien Tameze,26,783936000,Ligue 1,2019/2020,Midfielder,Nice,519,162,357,France,8,3,5,1,0,1,0,0,0,0,0,1,0,1,10,3,7,2,0,0.17,0,0.17,0,0.25,519,1.73,52,65,260,0,0.35,99,276,-1,10
Adrien Thomasson,26,755510400,Ligue 1,2019/2020,Midfielder,Strasbourg,2082,963,1119,France,25,12,13,7,6,1,1,0,1,0,0,8,4,4,24,12,12,4,0,0.35,0.04,0.3,0.56,0.08,297,1.04,87,83,521,2082,0.17,52,205,-1,2
Agustín Maximiliano Rogel Paita,23,877071600,Ligue 1,2019/2020,Defender,Toulouse,858,420,438,Uruguay,10,5,5,0,0,0,0,0,0,0,0,0,0,0,19,7,12,0,0,0,0,0,0,0,0,1.99,45,86,0,0,0,381,378,158,28
Ahmad Toure Ngouyamsa Nounchil,19,977385600,Ligue 1,2019/2020,Defender,Dijon,54,54,0,Cameroon,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,54,54,0,1.67,-1,-1,-1,12
Ahoueke Denkey,19,975571200,Ligue 1,2019/2020,Midfielder,Nîmes,596,239,357,France,17,8,9,3,1,2,1,0,1,0,0,3,2,1,8,1,7,1,0,0.6,0.15,0.45,0.38,0.5,199,1.21,75,35,596,596,0.15,22,87,-1,4
Alban Lafont,21,917078400,Ligue 1,2019/2020,Goalkeeper,Nantes,2430,1170,1260,France,27,13,14,0,0,0,0,0,0,0,0,10,7,3,25,8,17,3,0,0,0,0,0,0,0,0.93,97,90,810,0,0.11,392,391,47,17
Albert Nicolas Lottin,19,999068400,Ligue 1,2019/2020,Midfielder,Bordeaux,46,0,46,France,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,5.87,15,46,0,0,0,-1,-1,-1,21
Aleksandr Golovin,24,833439600,Ligue 1,2019/2020,Midfielder,Monaco,2069,1006,1063,Russia,25,12,13,3,3,0,4,3,1,0,0,7,4,3,33,15,18,6,1,0.3,0.17,0.13,0.27,0,690,1.44,63,83,345,517,0.26,122,67,-1,5
Alexander Djiku,26,776415600,Ligue 1,2019/2020,Defender,Strasbourg,2063,1057,1006,France,25,13,12,1,1,0,1,1,0,0,0,8,4,4,23,14,9,6,0,0.09,0.04,0.04,0.09,0,2063,1,90,83,344,2063,0.26,207,206,57,12
Alexandre Gameiro da Conceicao,21,916646400,Ligue 1,2019/2020,Forward,Nice,0,0,0,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Alexandre Mendy,26,764150400,Ligue 1,2019/2020,Forward,Brest,895,403,492,France,20,10,10,3,2,1,1,0,1,0,1,5,4,1,15,3,12,3,0,0.4,0.1,0.3,0.45,0.18,298,1.51,60,45,298,895,0.3,54,132,-1,4
Alexandre Olliero,24,824371200,Ligue 1,2019/2020,Goalkeeper,Nantes,0,0,0,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Alexandre Oukidja,32,585298800,Ligue 1,2019/2020,Goalkeeper,Metz,2385,1215,1170,France,27,14,13,0,0,0,0,0,0,0,0,8,3,5,29,15,14,3,0,0,0,0,0,0,0,1.09,82,88,795,0,0.11,343,345,77,13
Alexandre Phliponeau,20,948873600,Ligue 1,2019/2020,Midfielder,Olympique Marseille,0,0,0,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Alexis Blin,24,842857200,Ligue 1,2019/2020,Midfielder,Amiens SC,1845,991,854,France,24,12,12,0,0,0,1,0,1,0,0,5,3,2,31,16,15,4,0,0.05,0.05,0,0,0,0,1.51,60,77,461,1845,0.2,286,189,-1,22
Alexis Claude Maurice,22,897116400,Ligue 1,2019/2020,Forward,Nice,1633,856,777,France,22,12,10,1,1,0,1,1,0,0,0,4,2,2,23,11,12,2,0,0.11,0.06,0.06,0.11,0,1633,1.27,71,74,817,1633,0.11,172,182,-1,15
Alexis Trouillet,19,977558400,Ligue 1,2019/2020,Midfielder,Nice,0,0,0,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
