full_name,age,league,position,current_club,minutes_played_overall,minutes_played_home,minutes_played_away,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,penalty_goals,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,min_per_match,min_per_assist_overall
Aaron Ramsey,29,Serie A,Midfielder,Juventus,1049,587,462,24,12,12,3,2,1,1,0,12,3,9,2,0.34,0.09,0.26,0.31,0.19,350,44,1049
Abdoulaye Traorè,20,Serie A,Forward,Hellas Verona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Marušić,28,Serie A,Defender,Lazio,940,500,440,15,9,6,2,1,1,1,0,10,4,6,3,0.29,0.1,0.19,0.18,0.2,470,63,940
Adrien Rabiot,25,Serie A,Midfielder,Juventus,1917,1110,807,28,15,13,1,0,1,1,0,20,8,12,7,0.09,0.05,0.05,0,0.11,1917,68,1917
Adrien Tameze,26,Serie A,Midfielder,Atalanta,206,91,115,7,2,5,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,29,0
Alan Pereira Empereur,26,Serie A,Defender,Hellas Verona,852,410,442,13,6,7,0,0,0,0,0,14,5,9,3,0,0,0,0,0,0,66,0
Alberto Cerri,24,Serie A,Forward,SPAL,655,279,376,19,9,10,2,2,0,0,0,22,12,10,2,0.27,0,0.27,0.65,0,328,34,0
Alberto Grassi,25,Serie A,Midfielder,Parma,636,351,285,16,9,7,1,1,0,1,0,12,4,8,6,0.28,0.14,0.14,0.26,0,636,40,636
Alberto Paloschi,30,Serie A,Forward,Cagliari,637,295,342,17,9,8,0,0,0,0,0,10,5,5,0,0,0,0,0,0,0,37,0
Albin Ekdal,31,Serie A,Midfielder,Sampdoria,2386,1206,1180,32,16,16,0,0,0,2,0,39,16,23,8,0.08,0.08,0,0,0,0,75,1193
Alejandro Gómez,32,Serie A,Midfielder,Atalanta,2860,1394,1466,36,18,18,7,3,4,16,0,35,19,16,2,0.72,0.5,0.22,0.19,0.25,409,79,179
Aleksa Terzić,21,Serie A,Defender,Fiorentina,6,6,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Aleksandar Kolarov,34,Serie A,Defender,Roma,2730,1560,1170,32,19,13,7,2,5,3,2,35,24,11,6,0.33,0.1,0.23,0.12,0.38,390,85,910
Aleš Matějů,24,Serie A,Defender,Brescia,2548,1281,1267,31,15,16,0,0,0,1,0,53,22,31,10,0.04,0.04,0,0,0,0,82,2548
Alessandro Bastoni,21,Serie A,Defender,Inter Milan,1922,1033,889,25,13,12,2,0,2,0,0,23,12,11,9,0.09,0,0.09,0,0.2,961,77,0
Alessandro Berardi,29,Serie A,Goalkeeper,Hellas Verona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alessandro Buongiorno,21,Serie A,Defender,Torino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alessandro Deiola,25,Serie A,Midfielder,Lecce,718,345,373,11,6,5,1,1,0,1,0,18,8,10,3,0.25,0.13,0.13,0.26,0,718,65,718
Alessandro Florenzi,29,Serie A,Midfielder,Roma,1002,588,414,14,7,7,0,0,0,1,0,14,11,3,5,0.09,0.09,0,0,0,0,72,1002
Alessandro Lombardi,20,Serie A,Midfielder,Cagliari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
